baseline_rank,canonical_reported_name,province_reported,city_reported,trial_count_within_name_group,trial_example_url,name_verification_status,location_verification_status,official_hospital_id,official_name,filing_number,approved_name_evidence_json,unapproved_reference_leads_json,next_action,check_method
236,Yichang Central People's Hospital,Hubei,Yichang,68,https://clinicaltrials.gov/study/NCT03438877,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-223461ecc0a8033359a1966478d511c5"", ""official_name"": ""宜昌市中心人民医院"", ""candidate_alias"": ""Yichang Central People's Hospital"", ""source_url"": ""https://ror.org/04cr34a11"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
237,The People's Hospital of Guangxi Zhuang Autonomous Region,Guangxi,Nanning,66,https://clinicaltrials.gov/study/NCT01404169,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-178e4af7c0a80333007a1e99b7a2da53"", ""official_name"": ""广西壮族自治区人民医院"", ""candidate_alias"": ""The People's Hospital of Guangxi Zhuang Autonomous Region"", ""source_url"": ""https://ror.org/02aa8kj12"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
238,Jiangsu Cancer Hospital,,Nanjing,65,https://clinicaltrials.gov/study/NCT00069121,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
239,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Guangdong,Guangzhou,65,https://clinicaltrials.gov/study/NCT01503905,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
240,The First Affiliated Hospital of Xinxiang Medical University,Henan,Xinxiang,65,https://clinicaltrials.gov/study/NCT01885182,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
241,Affiliated Hospital of Zunyi Medical University,Guizhou,Zunyi,64,https://clinicaltrials.gov/study/NCT02966483,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
242,"Beijing Tiantan Hospital, Capital Medical University",,Beijing,64,https://clinicaltrials.gov/study/NCT00979589,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
243,China-Japan Union Hospital of Jilin University,Jilin,Changchun,64,https://clinicaltrials.gov/study/NCT00829660,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
244,Dongguan People's Hospital,Guangdong,Dongguan,64,https://clinicaltrials.gov/study/NCT01623908,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-a8ca5ae4c0a803332f40cb299fdbe61d"", ""official_name"": ""东莞市人民医院"", ""candidate_alias"": ""Dongguan People’s Hospital"", ""source_url"": ""https://ror.org/022s5gm85"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
245,Shanxi Provincial Cancer Hospital,Shanxi,Taiyuan,64,https://clinicaltrials.gov/study/NCT03012984,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
246,"Sun Yat-sen Memorial Hospital, Sun Yat-sen University",,Guangzhou,64,https://clinicaltrials.gov/study/NCT00781612,verified_name_relation,passes_available_location_filters,cnha-cfdi-cf7fafe0c0a803337c221769696693dc,中山大学孙逸仙纪念医院,药临床机构备字2020000516,"[{""hospital_id"": ""cnha-cfdi-cf7fafe0c0a803337c221769696693dc"", ""official_name"": ""中山大学孙逸仙纪念医院"", ""filing_number"": ""药临床机构备字2020000516"", ""alias"": ""Sun Yat-sen Memorial Hospital, Sun Yat-sen University"", ""normalized_alias"": ""sunyatsenmemorialhospitalsunyatsenuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.gov.uk/government/publications/list-of-hospitals-in-china/list-of-medical-facilities-in-china"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
247,The Second Affiliated Hospital of Xi'an Jiaotong University,Shaanxi,Xi'an,64,https://clinicaltrials.gov/study/NCT02093195,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
248,Sichuan Cancer Hospital,,Chengdu,63,https://clinicaltrials.gov/study/NCT01856478,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
249,"The Sixth Affiliated Hospital, Sun Yat-sen University",Guangdong,Guangzhou,63,https://clinicaltrials.gov/study/NCT01832337,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
250,Affiliated Hospital of Jiangnan University,Jiangsu,Wuxi,62,https://clinicaltrials.gov/study/NCT02375620,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
251,Zhejiang Provincial People's Hospital,,Hangzhou,62,https://clinicaltrials.gov/study/NCT00781612,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
252,"Beijing Anzhen Hospital, Capital Medical University",,Beijing,61,https://clinicaltrials.gov/study/NCT01560052,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
253,Children's Hospital of Fudan University,,Shanghai,61,https://clinicaltrials.gov/study/NCT00970398,verified_name_relation,passes_available_location_filters,cnha-cfdi-138b56c4c0a803330e40ef24ba80d41f,复旦大学附属儿科医院,药临床机构备字2020000372,"[{""hospital_id"": ""cnha-cfdi-138b56c4c0a803330e40ef24ba80d41f"", ""official_name"": ""复旦大学附属儿科医院"", ""filing_number"": ""药临床机构备字2020000372"", ""alias"": ""Children's Hospital of Fudan University"", ""normalized_alias"": ""childrenshospitaloffudanuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://shmc.fudan.edu.cn/eng/2094/list.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
254,Ningbo First Hospital,Zhejiang,Ningbo,61,https://clinicaltrials.gov/study/NCT01885078,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
255,Qingdao Municipal Hospital,Shandong,Qingdao,61,https://clinicaltrials.gov/study/NCT00413699,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
256,Ruijin Hospital,,Shanghai,61,https://clinicaltrials.gov/study/NCT00005062,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-49af8e67c0a803336507a7bb3f8db7bc"", ""official_name"": ""上海交通大学医学院附属瑞金医院"", ""candidate_alias"": ""Ruijin Hospital"", ""source_url"": ""https://ror.org/01hv94n30"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
257,The First Affiliated Hospital of Jinan University,Guangdong,Guangzhou,60,https://clinicaltrials.gov/study/NCT00829660,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
258,The First Affiliated Hospital of Kunming Medical University,Yunnan,Kunming,60,https://clinicaltrials.gov/study/NCT02586337,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
259,The Second Affiliated Hospital of Xi'an Jiaotong University,,Xi'an,60,https://clinicaltrials.gov/study/NCT03125902,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
260,Zhongda Hospital Southeast University,,Nanjing,60,https://clinicaltrials.gov/study/NCT01976208,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
261,Beijing Friendship Hospital,Beijing Municipality,Beijing,59,https://clinicaltrials.gov/study/NCT01640184,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
262,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,Beijing,59,https://clinicaltrials.gov/study/NCT00617981,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
263,Fuwai Hospital,Beijing Municipality,Beijing,59,https://clinicaltrials.gov/study/NCT01039467,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-dac651f9c0a8033306f8c466867e4477"", ""official_name"": ""中国医学科学院阜外医院"", ""candidate_alias"": ""Fu Wai Hospital"", ""source_url"": ""https://ror.org/0590dnz19"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
264,Liuzhou People's Hospital,Guangxi,Liuzhou,59,https://clinicaltrials.gov/study/NCT00829660,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
265,Pingxiang People's Hospital,Jiangxi,Pingxiang,59,https://clinicaltrials.gov/study/NCT01885078,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
266,"Qilu Hospital, Shandong University",Shandong,Jinan,59,https://clinicaltrials.gov/study/NCT01356511,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
267,Queen Mary Hospital,,Hong Kong,59,https://clinicaltrials.gov/study/NCT00026338,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
268,The First Hospital of China Medical University,,Shenyang,59,https://clinicaltrials.gov/study/NCT00891579,verified_name_relation,passes_available_location_filters,cnha-cfdi-066b931bc0a8033351202887a2fd71fa,中国医科大学附属第一医院,药临床机构备字2020000106,"[{""hospital_id"": ""cnha-cfdi-066b931bc0a8033351202887a2fd71fa"", ""official_name"": ""中国医科大学附属第一医院"", ""filing_number"": ""药临床机构备字2020000106"", ""alias"": ""The First Hospital of China Medical University"", ""normalized_alias"": ""thefirsthospitalofchinamedicaluniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://yizhe.dmu.edu.cn/article/doi/10.12014/j.issn.1002-0772.2016.06a.17"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
269,The Second Affiliated Hospital of Harbin Medical University,Heilong Jiang,Harbin,59,https://clinicaltrials.gov/study/NCT00786136,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
270,Tianjin People's Hospital,Tianjin Municipality,Tianjin,59,https://clinicaltrials.gov/study/NCT01929096,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-a900ffadc0a803333486f23102c2e40e"", ""official_name"": ""天津市人民医院"", ""candidate_alias"": ""Tianjin People's Hospital"", ""source_url"": ""https://ror.org/01x62kg38"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
271,Wuxi People's Hospital,,Wuxi,59,https://clinicaltrials.gov/study/NCT02205112,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
272,Huashan Hospital,Shanghai Municipality,Shanghai,58,https://clinicaltrials.gov/study/NCT01200719,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-5fa1b83ec0a803333f2b2d82ab77ebfe"", ""official_name"": ""复旦大学附属华山医院"", ""candidate_alias"": ""Huashan Hospital"", ""source_url"": ""https://ror.org/05201qm87"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
273,The Affiliated Hospital of Southwest Medical University,Sichuan,Luzhou,58,https://clinicaltrials.gov/study/NCT02790190,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
274,The First Affiliated Hospital of Zhejiang University,Zhejiang,Hangzhou,58,https://clinicaltrials.gov/study/NCT00617981,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
275,Henan Provincial People's Hospital,,Zheng'zhou,57,https://clinicaltrials.gov/study/NCT01140997,verified_name_relation,passes_available_location_filters,cnha-cfdi-cb7eef02c0a8033372362db264a58311,河南省人民医院,药临床机构备字2020000124,"[{""hospital_id"": ""cnha-cfdi-cb7eef02c0a8033372362db264a58311"", ""official_name"": ""河南省人民医院"", ""filing_number"": ""药临床机构备字2020000124"", ""alias"": ""Henan Provincial People's Hospital"", ""normalized_alias"": ""henanprovincialpeopleshospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.qk.sjtu.edu.cn/jdcp/CN/abstract/abstract50913.shtml"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
276,Jiangsu Provincial People's Hospital,Jiangsu,Nanjing,57,https://clinicaltrials.gov/study/NCT00548223,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
277,Mianyang Central Hospital,Sichuan,Mianyang,57,https://clinicaltrials.gov/study/NCT01396122,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-556fc35ac0a8033337b37344bce4537d"", ""official_name"": ""绵阳市中心医院"", ""candidate_alias"": ""Mianyang Central Hospital"", ""source_url"": ""https://ror.org/00s528j33"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
278,Qilu Hospital of Shandong University,,Jinan,57,https://clinicaltrials.gov/study/NCT00773461,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-3ca9ee0fc0a803331e2817e89dd297d8"", ""official_name"": ""山东大学齐鲁医院"", ""filing_number"": ""药临床机构备字2019000031"", ""alias"": ""Qilu Hospital of Shandong University"", ""normalized_alias"": ""qiluhospitalofshandonguniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://qiluhospital.com/show-313-17491-1.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
279,The Second Affiliated Hospital of Nanchang University,,Nanchang,57,https://clinicaltrials.gov/study/NCT03974022,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
280,Affiliated Hospital of Jining Medical University,Shandong,Jining,56,https://clinicaltrials.gov/study/NCT01471522,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-efcef543c0a803333bac3cae8cf3a7ca"", ""official_name"": ""济宁医学院附属医院"", ""candidate_alias"": ""Affiliated Hospital of Jining Medical University"", ""source_url"": ""https://ror.org/05e8kbn88"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
281,The First Affiliated Hospital of Fujian Medical University,,Fuzhou,56,https://clinicaltrials.gov/study/NCT01143064,verified_name_relation,passes_available_location_filters,cnha-cfdi-a9e58d41c0a803334712a9fdd252ffd2,福建医科大学附属第一医院,药临床机构备字2020000331,"[{""hospital_id"": ""cnha-cfdi-a9e58d41c0a803334712a9fdd252ffd2"", ""official_name"": ""福建医科大学附属第一医院"", ""filing_number"": ""药临床机构备字2020000331"", ""alias"": ""The First Affiliated Hospital of Fujian Medical University"", ""normalized_alias"": ""thefirstaffiliatedhospitaloffujianmedicaluniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.gov.uk/government/publications/list-of-hospitals-in-china/list-of-medical-facilities-in-china"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
282,The First People's Hospital of Foshan,Guangdong,Foshan,56,https://clinicaltrials.gov/study/NCT00912444,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
283,The Second Affiliated Hospital of Xi'an Jiaotong University,Shanxi,Xian,56,https://clinicaltrials.gov/study/NCT02366208,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
284,Second Hospital of Shanxi Medical University,Shanxi,Taiyuan,55,https://clinicaltrials.gov/study/NCT02063100,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-90498cb3c0a80333608cf87ec8056ce6"", ""official_name"": ""山西医科大学第二医院（山西医科大学第二医院互联网医院、山西红十字医院）"", ""candidate_alias"": ""Second Hospital of Shanxi Medical University"", ""source_url"": ""https://ror.org/03tn5kh37"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
285,Shaanxi Provincial People's Hospital,Shaan XI,Xi'an,55,https://clinicaltrials.gov/study/NCT02082756,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-637b975dc0a803333264020224c4f75d"", ""official_name"": ""陕西省人民医院"", ""candidate_alias"": ""Shaanxi Provincial People's Hospital"", ""source_url"": ""https://ror.org/009czp143"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
286,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,Jiangsu,Nanjing,55,https://clinicaltrials.gov/study/NCT02635464,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
287,"The First Affiliated Hospital, Zhejiang University School of Medicine",,Hangzhou,55,https://clinicaltrials.gov/study/NCT03093116,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-b409a9e9c0a803333b97a6234872adf7"", ""official_name"": ""浙江大学医学院附属第一医院"", ""filing_number"": ""药临床机构备字2020000348"", ""alias"": ""The First Affiliated Hospital, Zhejiang University School of Medicine"", ""normalized_alias"": ""thefirstaffiliatedhospitalzhejianguniversityschoolofmedicine"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://person.zju.edu.cn/en/renhaoli"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
288,Nanyang Central Hospital,Henan,Nanyang,54,https://clinicaltrials.gov/study/NCT01488526,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
289,Peking University Cancer Hospital,,Beijing,54,https://clinicaltrials.gov/study/NCT01955837,verified_name_relation,passes_available_location_filters,cnha-cfdi-6dbec404c0a803332f72931bc454ee4e,北京肿瘤医院、北京大学肿瘤医院、北京大学肿瘤医院互联网医院,药临床机构备字2019000050,"[{""hospital_id"": ""cnha-cfdi-6dbec404c0a803332f72931bc454ee4e"", ""official_name"": ""北京肿瘤医院、北京大学肿瘤医院、北京大学肿瘤医院互联网医院"", ""filing_number"": ""药临床机构备字2019000050"", ""alias"": ""Peking University Cancer Hospital"", ""normalized_alias"": ""pekinguniversitycancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.bjcancer.org/Html/News/Articles/1000208.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
290,Shandong Cancer Hospital and Institute,Shandong,Jinan,54,https://clinicaltrials.gov/study/NCT01556815,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
291,The Affiliated Hospital of Inner Mongolia Medical University,Inner Mongolia,Hohhot,54,https://clinicaltrials.gov/study/NCT01176916,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
292,The Affiliated Hospital of Qingdao University,,Qingdao,54,https://clinicaltrials.gov/study/NCT01560624,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-0d6cdcd5c0a803336f896af4c3b2de50"", ""official_name"": ""青岛大学附属医院"", ""filing_number"": ""药临床机构备字2020000017"", ""alias"": ""The Affiliated Hospital of QingDao University"", ""normalized_alias"": ""theaffiliatedhospitalofqingdaouniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://kjc.qdu.edu.cn/info/1023/2165.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
293,"Union Hospital of Tongji Medical College, Huazhong University of Science and Technology",Hubei,Wuhan,54,https://clinicaltrials.gov/study/NCT01455428,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
294,Cancer Hospital of Shantou University Medical College,Guangdong,Shantou,53,https://clinicaltrials.gov/study/NCT01176916,unverified_reference_only,not_evaluated_without_approved_identity,,,,[],"[{""hospital_id"": ""cnha-cfdi-8e20a2dac0a80333543d3dd8675674e1"", ""official_name"": ""汕头大学医学院附属肿瘤医院"", ""candidate_alias"": ""Cancer Hospital of Shantou University Medical College"", ""source_url"": ""https://ror.org/00a53nq42"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
