baseline_rank,canonical_reported_name,province_reported,city_reported,trial_count_within_name_group,trial_example_url,name_verification_status,location_verification_status,official_hospital_id,official_name,filing_number,approved_name_evidence_json,unapproved_reference_leads_json,next_action,check_method
11,The First Affiliated Hospital of Soochow University,Jiangsu,Suzhou,383,https://clinicaltrials.gov/study/NCT01224353,verified_name_relation,passes_available_location_filters,cnha-cfdi-b5cd6543c0a803330d96755e77d8daa5,苏州大学附属第一医院,药临床机构备字2020000866,"[{""hospital_id"": ""cnha-cfdi-b5cd6543c0a803330d96755e77d8daa5"", ""official_name"": ""苏州大学附属第一医院"", ""filing_number"": ""药临床机构备字2020000866"", ""alias"": ""The First Affiliated Hospital of Soochow University"", ""normalized_alias"": ""thefirstaffiliatedhospitalofsoochowuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://eng.suda.edu.cn/eng/Research/AffiliatedHospitals/201712/befa099f-4704-4eda-b4f1-7445e1fbe20f.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
12,Harbin Medical University Cancer Hospital,Heilongjiang,Harbin,358,https://clinicaltrials.gov/study/NCT01176916,verified_name_relation,passes_available_location_filters,cnha-cfdi-4ab33e0bc0a8033302630a51547a45f3,哈尔滨医科大学附属肿瘤医院、哈尔滨医科大学附属第三医院、哈尔滨医科大学第三临床医学院、黑龙江省肿瘤医院,药临床机构备字2020000204,"[{""hospital_id"": ""cnha-cfdi-4ab33e0bc0a8033302630a51547a45f3"", ""official_name"": ""哈尔滨医科大学附属肿瘤医院、哈尔滨医科大学附属第三医院、哈尔滨医科大学第三临床医学院、黑龙江省肿瘤医院"", ""filing_number"": ""药临床机构备字2020000204"", ""alias"": ""Harbin Medical University Cancer Hospital"", ""normalized_alias"": ""harbinmedicaluniversitycancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://hmucancerhospital.hrbmu.edu.cn/info/1081/19930.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
13,"Zhongshan Hospital, Fudan University",Shanghai Municipality,Shanghai,336,https://clinicaltrials.gov/study/NCT00561522,verified_name_relation,passes_available_location_filters,cnha-cfdi-aaf35c6ec0a803332e232c9de3002662,复旦大学附属中山医院,药临床机构备字2020000073,"[{""hospital_id"": ""cnha-cfdi-aaf35c6ec0a803332e232c9de3002662"", ""official_name"": ""复旦大学附属中山医院"", ""filing_number"": ""药临床机构备字2020000073"", ""alias"": ""Zhongshan Hospital, Fudan University"", ""normalized_alias"": ""zhongshanhospitalfudanuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://shmc.fudan.edu.cn/eng/2094/list.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
14,Beijing Cancer Hospital,,Beijing,333,https://clinicaltrials.gov/study/NCT00312845,verified_name_relation,passes_available_location_filters,cnha-cfdi-6dbec404c0a803332f72931bc454ee4e,北京肿瘤医院、北京大学肿瘤医院、北京大学肿瘤医院互联网医院,药临床机构备字2019000050,"[{""hospital_id"": ""cnha-cfdi-6dbec404c0a803332f72931bc454ee4e"", ""official_name"": ""北京肿瘤医院、北京大学肿瘤医院、北京大学肿瘤医院互联网医院"", ""filing_number"": ""药临床机构备字2019000050"", ""alias"": ""Beijing Cancer Hospital"", ""normalized_alias"": ""beijingcancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.bjcancer.org/Html/News/Articles/1000208.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
15,Cancer Hospital Chinese Academy of Medical Sciences,Beijing Municipality,Beijing,331,https://clinicaltrials.gov/study/NCT00706030,verified_name_relation,passes_available_location_filters,cnha-cfdi-31c61602c0a803336b55426e8e04a4da,中国医学科学院肿瘤医院,药临床机构备字2020000332,"[{""hospital_id"": ""cnha-cfdi-31c61602c0a803336b55426e8e04a4da"", ""official_name"": ""中国医学科学院肿瘤医院"", ""filing_number"": ""药临床机构备字2020000332"", ""alias"": ""Cancer Hospital, Chinese Academy of Medical Sciences"", ""normalized_alias"": ""cancerhospitalchineseacademyofmedicalsciences"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.cicams.ac.cn/dzb/navigation/liuxing/zhuan/2108.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
16,Jiangsu Province Hospital,Jiangsu,Nanjing,329,https://clinicaltrials.gov/study/NCT00395460,verified_name_relation,passes_available_location_filters,cnha-cfdi-382ba8b0c0a803335b4ce03a0dba2371,南京医科大学第一附属医院（江苏省人民医院）,药临床机构备字2020000824,"[{""hospital_id"": ""cnha-cfdi-382ba8b0c0a803335b4ce03a0dba2371"", ""official_name"": ""南京医科大学第一附属医院（江苏省人民医院）"", ""filing_number"": ""药临床机构备字2020000824"", ""alias"": ""Jiangsu Province Hospital"", ""normalized_alias"": ""jiangsuprovincehospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.shanghai.cn.emb-japan.go.jp/itpr_ja/00_000940.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
17,Fujian Medical University Union Hospital,Fujian,Fuzhou,308,https://clinicaltrials.gov/study/NCT01074021,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-d9fc6752c0a8033353ab9a1cfb4d52fe"", ""official_name"": ""福建医科大学附属协和医院"", ""filing_number"": ""药临床机构备字2020000314"", ""alias"": ""Fujian Medical University Union Hospital"", ""normalized_alias"": ""fujianmedicaluniversityunionhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://fjmuxb.fjmu.edu.cn/fjykdxxb/site/menus/20211222105233001"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
18,"The First Affiliated Hospital, Zhejiang University School of Medicine",Zhejiang,Hangzhou,306,https://clinicaltrials.gov/study/NCT01413074,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-b409a9e9c0a803333b97a6234872adf7"", ""official_name"": ""浙江大学医学院附属第一医院"", ""filing_number"": ""药临床机构备字2020000348"", ""alias"": ""The First Affiliated Hospital, Zhejiang University School of Medicine"", ""normalized_alias"": ""thefirstaffiliatedhospitalzhejianguniversityschoolofmedicine"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://person.zju.edu.cn/en/renhaoli"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
19,The Second Xiangya Hospital of Central South University,Hu'nan,Changsha,303,https://clinicaltrials.gov/study/NCT00728013,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-19d376dcc0a803332ef941e3d98754c0"", ""official_name"": ""中南大学湘雅二医院"", ""filing_number"": ""药临床机构备字2020000438"", ""alias"": ""The Second Xiangya Hospital of Central South University"", ""normalized_alias"": ""thesecondxiangyahospitalofcentralsouthuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://xysm.csu.edu.cn/EN/Hospitals.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
20,Fujian Cancer Hospital,Fujian,Fu'zhou,298,https://clinicaltrials.gov/study/NCT02332499,verified_name_relation,passes_available_location_filters,cnha-cfdi-8943f31ac0a80333354a0df6962a1108,福建省肿瘤医院,药临床机构备字2020000620,"[{""hospital_id"": ""cnha-cfdi-8943f31ac0a80333354a0df6962a1108"", ""official_name"": ""福建省肿瘤医院"", ""filing_number"": ""药临床机构备字2020000620"", ""alias"": ""Fujian Cancer Hospital"", ""normalized_alias"": ""fujiancancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://fjmuxb.fjmu.edu.cn/fjykdxxb/site/menus/20211222105233001"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
