hospital_id,official_name,filing_number,alias,normalized_alias,kind,evidence_status,source_url,accessed_at,valid_from,valid_to
cnha-cfdi-ad0da50bc0a8033347a2ecce577f760a,南方医科大学珠江医院,药临床机构备字2020000250,南方医科大学珠江医院,南方医科大学珠江医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,,
cnha-cfdi-ad1f9a0fc0a803331ff2591d7a43fa61,阿克苏地区第一人民医院,药临床机构备字2024000081,阿克苏地区第一人民医院,阿克苏地区第一人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,,
cnha-cfdi-ad22a7e5c0a8033328d575bbe8dc55f3,巴音郭楞蒙古自治州人民医院,药临床机构备字2024000165,巴音郭楞蒙古自治州人民医院,巴音郭楞蒙古自治州人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,,
cnha-cfdi-ad2c0547c0a803336a72e173761b536e,广东省农垦中心医院,药临床机构备字2023000039,广东省农垦中心医院,广东省农垦中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,,
cnha-cfdi-ad94b118c0a80333719526c741366821,云南省第一人民医院,药临床机构备字2020000161,云南省第一人民医院,云南省第一人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,,
cnha-cfdi-aeb61b7fc0a803333b768c85014ad3e0,广东省疾病预防控制中心（广东省预防医学科学院）,药临床机构备字2020000143,广东省疾病预防控制中心（广东省预防医学科学院）,广东省疾病预防控制中心广东省预防医学科学院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,,
cnha-cfdi-af02162ac0a8033362ca0616b61130da,内江市第一人民医院,药临床机构备字2020000782,内江市第一人民医院,内江市第一人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=8&pageSize=100,2026-09-05,,
cnha-cfdi-af0feb6ac0a8033373d4775a88218a45,沧州市中心医院,药临床机构备字2020000046,沧州市中心医院,沧州市中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,,
cnha-cfdi-af237087c0a803335e71864ee8ffcfee,河源市深河人民医院(暨南大学附属第五医院),药临床机构备字2025000034,河源市深河人民医院(暨南大学附属第五医院),河源市深河人民医院暨南大学附属第五医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,2026-09-05,,
cnha-cfdi-af237087c0a803335e71864ee8ffcfee,河源市深河人民医院(暨南大学附属第五医院),药临床机构备字2025000034,暨南大学附属第五医院,暨南大学附属第五医院,parallel_name,official_source_reviewed,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,2026-09-05,,
cnha-cfdi-af237087c0a803335e71864ee8ffcfee,河源市深河人民医院(暨南大学附属第五医院),药临床机构备字2025000034,河源市深河人民医院,河源市深河人民医院,official_variant,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,2026-09-05,,
cnha-cfdi-af304a43c0a803336d95c5129ced9c63,皖南医学院第一附属医院（皖南医学院弋矶山医院）,药临床机构备字2020000013,皖南医学院第一附属医院（皖南医学院弋矶山医院）,皖南医学院第一附属医院皖南医学院弋矶山医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,2026-09-05,,
cnha-cfdi-af304a43c0a803336d95c5129ced9c63,皖南医学院第一附属医院（皖南医学院弋矶山医院）,药临床机构备字2020000013,皖南医学院弋矶山医院,皖南医学院弋矶山医院,parallel_name,official_source_reviewed,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,2026-09-05,,
cnha-cfdi-af304a43c0a803336d95c5129ced9c63,皖南医学院第一附属医院（皖南医学院弋矶山医院）,药临床机构备字2020000013,皖南医学院第一附属医院,皖南医学院第一附属医院,official_variant,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,2026-09-05,,
cnha-cfdi-af327923c0a803330d320cdcaf19c55f,上饶市人民医院,药临床机构备字2020000006,上饶市人民医院,上饶市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,2026-09-05,,
cnha-cfdi-af4a6352c0a803335ead0b53a3deeb77,安徽医科大学附属阜阳医院,药临床机构备字2023000050,安徽医科大学附属阜阳医院,安徽医科大学附属阜阳医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,,
cnha-cfdi-af5e98d2c0a80333063cbddc1f98b8b0,天津市第五中心医院,药临床机构备字2020000709,天津市第五中心医院,天津市第五中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=8&pageSize=100,2026-09-05,,
cnha-cfdi-af65b484c0a80333362357cd6d4fcf5d,核工业四一六医院,药临床机构备字2020000951,核工业四一六医院,核工业四一六医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=10&pageSize=100,2026-09-05,,
cnha-cfdi-af7f14c7c0a803332ce4ebe3709b44ce,西南医科大学附属医院,药临床机构备字2020000535,西南医科大学附属医院,西南医科大学附属医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=6&pageSize=100,2026-09-05,,
cnha-cfdi-afd64064c0a8033330a63d213b95b3cf,北海市人民医院,药临床机构备字2023000150,北海市人民医院,北海市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100,2026-09-05,,
cnha-cfdi-b0376d43c0a8033315fd88e7b04bb9a5,河北省胸科医院,药临床机构备字2020000798,河北省胸科医院,河北省胸科医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100,2026-09-05,,
cnha-cfdi-b037e3b9c0a80333493b38bd88be3f1d,天津市武清区人民医院,药临床机构备字2020000647,天津市武清区人民医院,天津市武清区人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=7&pageSize=100,2026-09-05,,
cnha-cfdi-b0384308c0a8033319c9688311b5de39,陕西中医药大学第二附属医院,药临床机构备字2020000288,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,,
cnha-cfdi-b038edf7c0a803336f9a4874a663b6b5,山东第二医科大学附属医院，山东第二医科大学附属医院互联网医院,药临床机构备字2020000062,山东第二医科大学附属医院，山东第二医科大学附属医院互联网医院,山东第二医科大学附属医院山东第二医科大学附属医院互联网医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,,
cnha-cfdi-b038edf7c0a803336f9a4874a663b6b5,山东第二医科大学附属医院，山东第二医科大学附属医院互联网医院,药临床机构备字2020000062,山东第二医科大学附属医院,山东第二医科大学附属医院,official_variant,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,,
