hospital_id,official_name,candidate_alias,source_url,status,reason
cnha-cfdi-281eb25dc0a803334728f8139013b871,兴化市人民医院,Xinghua People's Hospital Affiliated to Yangzhou University,https://ror.org/05ht7qn52,review_required,Reference-only name; not approved for resolution
cnha-cfdi-28c180c3c0a803337c9a4eaf72b893ea,吉林大学第一医院,First Hospital of Jilin University,https://ror.org/034haf133,review_required,Reference-only name; not approved for resolution
cnha-cfdi-29911ba6c0a8033334c8d26c40ece079,淅川县人民医院(淅川县第一医共体总医院),淅川县第一医共体总医院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-29a0505ac0a8033367da5b7f0b11734c,重庆市红十字会医院（江北区人民医院）,江北区人民医院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-2a76f77dc0a8033311314f9be1ed9183,武汉市第四医院（武汉市普爱医院、武汉市骨科医院）,Wuhan Fourth Hospital,https://ror.org/00qavst65,review_required,Reference-only name; not approved for resolution
cnha-cfdi-2a76f77dc0a8033311314f9be1ed9183,武汉市第四医院（武汉市普爱医院、武汉市骨科医院）,Wuhan Puai Hospital,https://ror.org/00qavst65,review_required,Reference-only name; not approved for resolution
cnha-cfdi-2dd3b2e1c0a803332927affc6074b049,深圳平乐骨伤科医院（深圳市坪山区中医院）,Shenzhen Pingle Orthopedic Hospital,https://ror.org/04ppv2c95,review_required,Reference-only name; not approved for resolution
cnha-cfdi-31278b94c0a803333d226ab8b1471a8c,河北省人民医院,Hebei General Hospital,https://ror.org/01nv7k942,review_required,Reference-only name; not approved for resolution
cnha-cfdi-312ade48c0a803330dbbe4dc78900ab2,首都医科大学附属北京朝阳医院,Beijing Chao-Yang Hospital,https://ror.org/01eff5662,review_required,Reference-only name; not approved for resolution
cnha-cfdi-312ade48c0a803330dbbe4dc78900ab2,首都医科大学附属北京朝阳医院,"Beijing Chao-Yang Hospital, Capital Medical University",https://ror.org/01eff5662,review_required,Reference-only name; not approved for resolution
cnha-cfdi-312ade48c0a803330dbbe4dc78900ab2,首都医科大学附属北京朝阳医院,Běijīng Cháoyáng Yīyuàn,https://ror.org/01eff5662,review_required,Reference-only name; not approved for resolution
cnha-cfdi-312ade48c0a803330dbbe4dc78900ab2,首都医科大学附属北京朝阳医院,北京朝阳医院,https://ror.org/01eff5662,review_required,Reference-only name; not approved for resolution
cnha-cfdi-31343ef5c0a8033378eee0d9c7157d5a,山东省第二人民医院（山东省耳鼻喉医院、山东省耳鼻喉研究所）,山东省耳鼻喉研究所,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=7&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-317e5390c0a80333428017c95b8e60d5,北京市海淀医院、北京市海淀医院互联网医院,北京市海淀医院互联网医院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,review_required,Reference-only name; not approved for resolution
